"","id","book","book_num","chapter","chapter_num","character","full_text","character_lines","writer","director","imdb_rating"
"12",12,"Water",1,"The Boy in the Iceberg",1,"Sokka","Why is it that every time you play with magic water, I get soaked?","Why is it that every time you play with magic water, I get soaked?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"13",13,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Sokka clenches his fists and a few drops of water fall from his soaked gloves.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"14",14,"Water",1,"The Boy in the Iceberg",1,"Katara","[Cut to her face; she sighs lightly before answering in slight annoyance.] It's not ""magic"", it's waterbending! And it's ...","It's not ""magic"", it's waterbending! And it's ...","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"15",15,"Water",1,"The Boy in the Iceberg",1,"Sokka","Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying [Grabbing his warrior's wolf knot with his left hand as he turns away from her, wringing the water out of it. Meanwhile, Katara has crossed her arms.] that if I had weird powers, I'd keep my weirdness to myself.","Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"16",16,"Water",1,"The Boy in the Iceberg",1,"Katara","[Cut to her face as she raises an eyebrow skeptically, arms still crossed.] You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!","You're calling me weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"17",17,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Near the end of her response, Katara smiles smugly at her brother; as the shot cuts to him, he is flexing at his reflection in the water and grinning confidently. His happy look vanishes upon hearing his sister's remark and he turns around slowly, meaning to face her. Before he can say anything, however, the canoe suddenly shudders. As they both try to keep from falling over, Sokka whirls around toward his end of the canoe, a frantic look on his face.
The camera cuts to a far view of the canoe, which pans up as the boat moves away from it. The boat is caught in a rapid current, which is pulling it swiftly toward a jumble of large icebergs which block the end of the narrow passage formed by the towering walls of ice. Sokka paddles the boat in an attempt to stay clear of any floating chunks of ice. He manages to gain just enough speed to keep the boat from being crushed by two icebergs which slam together behind the boat. A series of shots follows: the canoe moving through the water as Sokka rows furiously; a close-up of Sokka's head; and a frontal shot of the canoe as it is nearly pinned by a number of smaller chunks of ice. Cut to Katara's face, both her face and voice full of panic as she yells commands to Sokka.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"18",18,"Water",1,"The Boy in the Iceberg",1,"Katara","Watch out! Go left! Go left!","Watch out! Go left! Go left!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"19",19,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The shot shows an overview of the ice floes moving closer together in front of the boat, narrowing their path. The boat manages to stay clear of some of the icebergs, but it veers to the right with the current and becomes pinned by three large chunks of ice. As the canoe is completely crushed by the ice, Katara and Sokka throw themselves from the canoe and onto one of the floes; Katara nearly slides off the other side into the water, but comes to a halt at the floe's very edge. As she raises her head, looking around, the shot zooms out to reveal the siblings are floating on one floe among dozens.
Katara, shuffling on her hands and knees, moves away from the rim toward the middle of the floe, sitting next to her brother. His spear is embedded point-first in the ice just behind him.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"20",20,"Water",1,"The Boy in the Iceberg",1,"Katara","[A touch of bitterness in her voice.] You call that left?","You call that left?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"21",21,"Water",1,"The Boy in the Iceberg",1,"Sokka","You don't like my steering? Well, maybe you should've [He waves his hands, mockingly imitating waterbending.] waterbended us out of the ice.","You don't like my steering? Well, maybe you should've  waterbended us out of the ice.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"22",22,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The shot cuts to a wide shot of the two on their floe; among the large icebergs and tiny floes surrounding them stands a massive, towering shard of ice, its craggy peak rising high above the siblings. Katara gets on her feet again, facing Sokka so that the pointed iceberg is behind her.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"23",23,"Water",1,"The Boy in the Iceberg",1,"Katara","[Indignantly.] So it's my fault?","So it's my fault?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"24",24,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Annoyed.] I knew I should've left you home! [Cut to a close-up of the siblings; Katara is staring down at her brother in anger while he rants calmly.] Leave it to a girl to screw things up!","I knew I should've left you home!  Leave it to a girl to screw things up!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"25",25,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Cut to a close-up of Katara's face as it contorts with fury. The shot cuts to a side view as Katara points accusingly at her brother, who makes no movement as she screams her disgust at him, the floe bobbing lightly up and down.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"26",26,"Water",1,"The Boy in the Iceberg",1,"Katara","You are the most sexist, [She brings her hands up to her head and swings them back down and behind her in her rage; the movement creates a small wave of water behind her.] immature, [Hands raised back to her head.] nut brained ... [Swings her arms back down again, creating a slightly larger wave; she raises her hands back to her head during a brief loss for words.] I'm embarrassed [Throwing a hand upward, a short jet of water shoots upward as well.] to be related to you!","You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"27",27,"Water",1,"The Boy in the Iceberg",1,"Scene Description","She swings both her hands back forcefully once again and her unconscious waterbending hurls a wave directly into the towering iceberg behind her; with a loud, splitting crack, a hooklike fissure arcs up its surface and out its side, leaving a spray of ice where it ends. Sokka, who wears a somewhat disinterested expression, glances briefly in his sister's direction and sees the iceberg; after a short moment, he does a double-take, his expression morphing into one of terror. The shot cuts to show Katara's outburst from behind Sokka; as she continues with her verbal outburst and arm movements, little chunks of ice from the iceberg splash into the water, unheard and unnoticed by Katara.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"28",28,"Water",1,"The Boy in the Iceberg",1,"Katara","Ever since mom died, [Points to herself.] I've been doing all the work around camp while you've been off playing soldier!","Ever since mom died,  I've been doing all the work around camp while you've been off playing soldier!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"29",29,"Water",1,"The Boy in the Iceberg",1,"Scene Description","She emphasizes the last words with a strong swing of her hand, waterbending and deepening the crack in the iceberg. Sokka's terror deepens.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"30",30,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Pointing to the iceberg behind her, his voice subdued by fright.] Uh ... Katara ...","Uh ... Katara ...","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"31",31,"Water",1,"The Boy in the Iceberg",1,"Katara","[Close-up of a rage-fueled Katara as she continues her outburst, a finger pointed in Sokka's face.] I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!","I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, not pleasant!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"32",32,"Water",1,"The Boy in the Iceberg",1,"Scene Description","As she yells out that last word, she unconsciously waterbends once again, causing two new splits in the chunk of ice.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"33",33,"Water",1,"The Boy in the Iceberg",1,"Sokka","[In a screeching voice, his eyes open wide in fear.] Katara, settle down!","Katara, settle down!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"34",34,"Water",1,"The Boy in the Iceberg",1,"Katara","No that's it! I'm done helping you! From now on, you're on your own!","No that's it! I'm done helping you! From now on, you're on your own!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"35",35,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Her last movement is her most agitated and it creates a huge wave which, when it impacts the� iceberg, sends a number of fissures to snake their way up the iceberg; one of them reaches the top of the iceberg, splitting it completely in half. Petrified, Sokka gasps for air, and it is only now that Katara turns to look behind her. She gasps and the shot cuts to the iceberg; the two halves begin to fall away from each other and the siblings can be seen through the widening space between them. The shot jumps to the siblings' backs as the two halves collapse into the water; a wave larger than any Katara cast at it radiates outward toward them and they are thrown to the ice as it pushes their floe backward.
As the waves subside, the shot cuts to a head-on close-up of the siblings, their heads slightly over the edge of the ice. Sokka, holding a protective arm over Katara, turns his head toward her.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"36",36,"Water",1,"The Boy in the Iceberg",1,"Sokka","Okay, you've gone from ""weird"" to ""freakish"", [He releases her.] Katara.","Okay, you've gone from ""weird"" to ""freakish"",  Katara.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"37",37,"Water",1,"The Boy in the Iceberg",1,"Katara","[Astonished.] You mean I did that?","You mean I did that?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"38",38,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Sarcastically, glancing at her and smirking.] Yep. [Nudging her with his elbow.] Congratulations.","Yep.  Congratulations.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"39",39,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Several small bubbles appear on the surface of the water directly in front of them and a small spot of water begins to glow with a bright bluish hue. An overhead shot shows the spread of the brilliant glow and the bubbles within. Cut to the head-on close-up as the two siblings scramble back in renewed terror from the edge, just as a large, roughly spherical iceberg breaks the surface of the water.
The shot jumps behind Katara and Sokka as an iceberg rises above the surface, revealing its massive form to be the source of the glow. The crashing waves generated by the iceberg's rising push the floe backward as the berg itself rocks to one side, before coming to rest�with its rounded dome exposed above the water. Mesmerized by the iceberg, Katara strays closer and stares at the iceberg; behind her, Sokka halfheartedly stretches out his hand, as if to hold her back. A few cuts ensue: the iceberg from behind Sokka and Katara; Katara's face as she stares at the object; and a shot of the iceberg itself, revealing a human shape within below a larger, indistinguishable mass. The human figure, perched in lotus, has glowing arrows on its head and hands. Close-up of Katara as she raises an eyebrow in confusion. The shot cuts to a closer view of the figure in the ice, its features accentuated by reflected light, revealing it to be a boy. Suddenly, the boy opens his eyes, the same brilliant light emanating from them, eliciting shocked gasps from both of the siblings.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"40",40,"Water",1,"The Boy in the Iceberg",1,"Katara","He's alive! We have to help!","He's alive! We have to help!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"41",41,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Before Sokka can grab it, Katara grabs Sokka's club out of its sheath on his back and pulls her hood over her head, heading in the direction of the strange boy sealed in the iceberg. Sokka again reaches out his hand in an attempt to hold Katara back, though she is already running across the ice.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"42",42,"Water",1,"The Boy in the Iceberg",1,"Sokka","Katara, get back here! [He grabs his spear from the ice and runs after Katara, who is already at the ice's edge.] We don't know what that thing is!","Katara, get back here!  We don't know what that thing is!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"43",43,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Katara hops across the short distance between her floe and the iceberg on five tiny chinks of ice; Sokka, close behind her, does the same. Reaching the iceberg first, Katara repeatedly strikes the iceberg with Sokka's club. On her fifth strike, the club breaks through the surface and a great gust of wind, which escapes from within the iceberg, throws her and her brother back from the side of the dome. Fissures quickly snake their way over the whole iceberg and, in a massive outward explosion, the entire orb of ice destroys itself. A beam of light bursts from the core of the iceberg and rockets into the sky. The camera shows the iceberg from the shallow sea bottom as it emits ripples of light. The scene switches to a group of tiger seals, who erect themselves to growl at the distant beam of light.
Cut to a Fire Nation ship, where a boy in a Fire Nation military uniform stands on the deck, gazing at the light. His ponytail flutters in the wind.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"44",44,"Water",1,"The Boy in the Iceberg",1,"Zuko","Finally! [He turns around to face another person in uniform, who sits at a small table.] Uncle, do you realize what this means?!","Finally!  Uncle, do you realize what this means?!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"45",45,"Water",1,"The Boy in the Iceberg",1,"Iroh","[The man is playing some sort of card game. He answers calmly while looking over the tile he's holding toward his nephew.] I won't get to finish my game?","I won't get to finish my game?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"46",46,"Water",1,"The Boy in the Iceberg",1,"Zuko","[Turning around again to face the light.] It means my search is about to come to an end.","It means my search is about to come to an end.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"47",47,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Iroh sighs uninterestedly and places his tile on the table.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"48",48,"Water",1,"The Boy in the Iceberg",1,"Zuko","[Gestures at the light while facing his uncle again.] That light came from an incredibly powerful source! [The light dwindles and disappears.] It has to be him!","That light came from an incredibly powerful source!  It has to be him!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"49",49,"Water",1,"The Boy in the Iceberg",1,"Iroh","[With continuing disinterest and an air of skepticism.] Or it's just the celestial lights. We've been down this road before, Prince Zuko. [He looks at the tile in his hand, depicting the symbol of airbending.] I don't want you to get too excited over nothing. [He places it on a tile carrying the symbol of firebending and gestures toward the open place at the other side of the table while continuing in a relaxed voice.] Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"50",50,"Water",1,"The Boy in the Iceberg",1,"Zuko","[Furiously, still facing Iroh.] I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!","I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"51",51,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Zuko points in the direction of where the light once was. Iroh calmly continues with his game, placing another tile bearing the airbending symbol on the previous one. As he does, a gust of wind washes over him, shaking his tiles.
Cut to the iceberg, where the gale has begun to settle. Sokka had protectively clutched Katara, but he now releases her as he looks around. Light still encircles the remains of the former mountain of ice, now reduced to a hollowed-out crater. Sokka looks at his sister and they both get to their feet, Katara holding onto her brother. He points his spear at the crater, ready to defend them, though lowers it in shock as a figure emerges slowly from the depression in the iceberg.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"52",52,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Brandishing his spear in defense once again.] Stop!","Stop!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"53",53,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Now standing atop the crater, the figure slowly erects himself and looks down at them, and the two siblings stare back in wonder and fear.
The circles of light finally dissipate as the boy stops glowing. The figure is revealed to be nothing more than a young boy, who gives a moan of exhaustion and suddenly faints. Katara gasps and runs forward to catch him before he hits the ground and Sokka begins to poke at the boy's head with the blunt end of his spear.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"54",54,"Water",1,"The Boy in the Iceberg",1,"Katara","[Waves the spear away. Annoyed.] Stop it!","Stop it!","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"55",55,"Water",1,"The Boy in the Iceberg",1,"Scene Description","Katara places the boy gently against the base of the crater. Close-up of the boy as he slowly opens his gray eyes. He gasps in awe as he beholds the Southern Water Tribe girl, who stares at him, in relief, with deep blue eyes. Her hair loopies sway in the wind.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"56",56,"Water",1,"The Boy in the Iceberg",1,"Aang","[In a weak voice.] I need to ask you something ...","I need to ask you something ...","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"57",57,"Water",1,"The Boy in the Iceberg",1,"Katara","What?","What?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"58",58,"Water",1,"The Boy in the Iceberg",1,"Aang","Please ... come closer.","Please ... come closer.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"59",59,"Water",1,"The Boy in the Iceberg",1,"Katara","[Curiously.] What is it?","What is it?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"60",60,"Water",1,"The Boy in the Iceberg",1,"Aang","[In a clear, happy, hopeful tone.] Will you go penguin sledding with me?","Will you go penguin sledding with me?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"61",61,"Water",1,"The Boy in the Iceberg",1,"Katara","[Awkwardly.] Uh, sure ... I-I guess.","Uh, sure ... I-I guess.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"62",62,"Water",1,"The Boy in the Iceberg",1,"Scene Description","The camera moves back again to show the threesome at the base of the iceberg. The boy elegantly rises to his feet in one swift motion, surprising the other two. Katara looks at him in awe while Sokka backs away in shock, aiming his spear at him again. Katara glances at him in disbelief.",NA,"<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"63",63,"Water",1,"The Boy in the Iceberg",1,"Aang","[Looking around and rubbing his head, while Katara scrambles on her feet.] What's going on here?","What's going on here?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"64",64,"Water",1,"The Boy in the Iceberg",1,"Sokka","[Aggressively.] You tell us! [Points at the top of the crater.] How did you get in the ice? And why aren't you frozen? [He pokes the boy in his side with his spear.]","You tell us!  How did you get in the ice? And why aren't you frozen?","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
"65",65,"Water",1,"The Boy in the Iceberg",1,"Aang","[Lazily pushes the spear away.] I'm ... not sure.","I'm ... not sure.","<U+200E>Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.1
